"address","attributes.ByAppointmentOnly","business_id","categories","city","hours","is_open","latitude","longitude","name","postal_code","review_count","stars","state","attributes.BusinessAcceptsCreditCards","hours.Friday","hours.Monday","hours.Saturday","hours.Thursday","hours.Tuesday","hours.Wednesday","attributes.BikeParking","attributes.BusinessParking","attributes.Caters","attributes.CoatCheck","attributes.DogsAllowed","attributes.HappyHour","attributes.HasTV","attributes.OutdoorSeating","attributes.RestaurantsDelivery","attributes.RestaurantsPriceRange2","attributes.RestaurantsReservations","attributes.RestaurantsTakeOut","attributes.WheelchairAccessible","attributes.WiFi","hours.Sunday","attributes.Alcohol","attributes.GoodForKids","attributes.Ambience","attributes.DriveThru","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsTableService","attributes","attributes.NoiseLevel","attributes.GoodForMeal","attributes.BusinessAcceptsBitcoin","attributes.GoodForDancing","attributes.Music","attributes.Smoking","attributes.AcceptsInsurance","attributes.BestNights","attributes.BYOB","attributes.Corkage","attributes.BYOBCorkage","attributes.HairSpecializesIn","attributes.Open24Hours","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions"
"2800 Opryland Dr","True","ORL4JE6tz3rJxVqkdKfegA","Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas","Nashville",NA,1,36.2115923083,-86.6943191727,"Gaylord Opryland Resort & Convention Center","37214",1639,3,"TN","True","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","True","True","False","True","True","True","True","3","True","True","True","u'paid'","0:0-0:0","'full_bar'","True","{'romantic': False, 'intimate': False, 'touristy': True, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"'casual'","True","True",NA,"u'very_loud'","{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","False","False","{'dj': True, 'background_music': True, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': True}","u'outdoor'",NA,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}","True",NA,"'no'",NA,NA,NA,NA,NA
"25 S Union St",NA,"MbeCFyquZ9stzXSrrSXEgg","Arts & Entertainment, Performing Arts, Cinema","Lambertville",NA,1,40.364578,-74.9446533,"ACME Screening Room","08530",6,4,"NJ",NA,"18:0-23:0",NA,"18:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16:30-21:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99 N Virginia St",NA,"fNfnyVFfn7B9zuU7cYyk3Q","Cinema, Event Planning & Services, Arts & Entertainment, Performing Arts, Specialty Schools, Art Schools, Venues & Event Spaces, Education","Reno",NA,1,39.5255171,-119.8130348,"Bruka Theatre of the Sierra","89501",37,4.5,"NV","True","14:30-18:30",NA,"14:30-18:30","14:30-18:30",NA,"14:30-18:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180 Mill Road, P. O. Box 938",NA,"ViDoPXukU75uilpFI13crw","Cinema, Arts & Entertainment","Oaks",NA,1,40.127525,-75.453241,"Regal Oaks","19456",48,2.5,"PA",NA,"11:0-23:30","0:0-0:0","11:0-23:30","11:0-23:30","11:0-23:30","11:0-23:30",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7157 Germantown Ave",NA,"8fTaOcdyJwJJtN7dbRNpiw","Shopping, Books, Mags, Music & Video, Videos & Video Game Rental, Arts & Entertainment, Food, Cinema, Ice Cream & Frozen Yogurt","Philadelphia",NA,0,40.0600047,-75.1907117,"Video Library","19119",7,3.5,"PA","True","11:0-23:0","16:0-22:0","11:0-23:0","16:0-22:0","16:0-22:0","16:0-22:0",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"11:0-22:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11778 N Dale Mabry Hwy",NA,"WQ832PDnsDshhbQFm83ISg","Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars","Tampa",NA,1,28.055282,-82.506247,"Villagio Cinemas","33618",285,3,"FL","True","11:0-23:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0","11:0-23:0","True","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","False",NA,NA,NA,"True","False","True","2","True","True","True","u'free'","11:0-23:0","u'full_bar'","True","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",NA,"u'casual'","True","True",NA,"'quiet'","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","False",NA,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",NA,NA,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",NA,NA,NA,NA,NA,NA,NA,NA
"494 W Germantown Pike","False","N9-NRK8PPvi73tduxoPKbA","Arts & Entertainment, Cinema","Plymouth Meeting",NA,1,40.11461,-75.279194,"AMC Plymouth Meeting Mall 12","19462",169,2.5,"PA",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'no'","11:0-23:0",NA,"True",NA,NA,"u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151 Manhattan Blvd","False","1gV0EbA00qcP7oZFrFhxUA","Cinema, Arts & Entertainment","Harvey",NA,1,29.898937,-90.060468,"AMC Westbank Palace 16","70058",102,3,"LA",NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"u'free'","11:0-23:0",NA,"True",NA,NA,"u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770 N Kolb Rd",NA,"PPcKiRY_-QoOx9JxPK01VQ","Arts & Entertainment, Cinema, Event Planning & Services, Venues & Event Spaces","Tucson",NA,1,32.2307021,-110.8393662,"Century Gateway 12","85710",61,4,"AZ","True",NA,NA,NA,NA,NA,NA,NA,NA,"False","False",NA,"False",NA,"False","False",NA,NA,"False","True",NA,NA,"u'none'","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5455 S Calle Santa Cruz",NA,"OfI4DC1DVCJ92XcLdFBMFg","Cinema, Arts & Entertainment","Tucson",NA,1,32.152065,-110.987969,"Harkins Theatres  Tucson Spectrum 18","85706",90,4,"AZ",NA,"10:0-23:0","10:0-23:0","10:0-23:0","10:0-23:0","10:0-23:0","10:0-23:0",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,"True",NA,NA,"10:0-23:0",NA,"True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
